"","brewery_id","X","abv","ibu","id","name","style","ounces","brew_name","city","state","city_state"
"2153",458,1158,0.05,15,1187,"Peninsula Brewers Reserve (PBR)","American Blonde Ale",12,"Kenai River Brewing Company","Soldotna"," AK","Soldotna  AK"
"2154",458,1159,0.068,NA,349,"Sunken Island IPA","American IPA",12,"Kenai River Brewing Company","Soldotna"," AK","Soldotna  AK"
"2155",458,1160,0.058,NA,348,"Skilak Scottish Ale (2011)","Scottish Ale",12,"Kenai River Brewing Company","Soldotna"," AK","Soldotna  AK"
"2156",459,1739,0.05,NA,1180,"River North White Ale","Witbier",16,"River North Brewery","Denver"," CO","Denver  CO"
"2157",459,1740,0.05,NA,1179,"River North Ale","American Amber / Red Ale",16,"River North Brewery","Denver"," CO","Denver  CO"
"2158",460,874,0.04,NA,1174,"77 Fremont Select Spring Session IPA","American IPA",12,"Fremont Brewing Company","Seattle"," WA","Seattle  WA"
"2159",460,875,0.045,NA,1116,"Fremont Organic Pale Ale","American Pale Ale (APA)",12,"Fremont Brewing Company","Seattle"," WA","Seattle  WA"
"2160",460,876,0.08,NA,994,"Abominable Ale","English Strong Ale",12,"Fremont Brewing Company","Seattle"," WA","Seattle  WA"
"2161",460,877,0.065,35,901,"Harvest Ale","Saison / Farmhouse Ale",12,"Fremont Brewing Company","Seattle"," WA","Seattle  WA"
"2162",460,878,0.065,45,875,"Fremont Summer Ale","American Pale Ale (APA)",12,"Fremont Brewing Company","Seattle"," WA","Seattle  WA"
"2163",460,879,0.056,30,858,"Universale Pale Ale","American Pale Ale (APA)",12,"Fremont Brewing Company","Seattle"," WA","Seattle  WA"
"2164",460,880,0.065,80,857,"Interurban IPA","American IPA",12,"Fremont Brewing Company","Seattle"," WA","Seattle  WA"
"2165",461,136,0.052,10,1172,"Mo's Gose","Gose",16,"Armstrong Brewing Company","South San Francisco"," CA","South San Francisco  CA"
"2166",462,62,0.055,26,1165,"Colorado Native","American Amber / Red Lager",12,"AC Golden Brewing Company","Golden"," CO","Golden  CO"
"2167",462,63,0.055,26,431,"Colorado Native (2011)","American Amber / Red Lager",12,"AC Golden Brewing Company","Golden"," CO","Golden  CO"
"2168",463,234,0.078,NA,1158,"La Frontera Premium IPA","American IPA",12,"Big Bend Brewing Company","Alpine"," TX","Alpine  TX"
"2169",463,235,0.047,NA,1157,"Tejas Lager","Czech Pilsener",12,"Big Bend Brewing Company","Alpine"," TX","Alpine  TX"
"2170",463,236,0.064,NA,1156,"Number 22 Porter","American Porter",12,"Big Bend Brewing Company","Alpine"," TX","Alpine  TX"
"2171",463,237,0.056,NA,1155,"Big Bend Hefeweizen","Hefeweizen",12,"Big Bend Brewing Company","Alpine"," TX","Alpine  TX"
"2172",463,238,0.06,NA,1154,"Terlingua Gold","American Blonde Ale",12,"Big Bend Brewing Company","Alpine"," TX","Alpine  TX"
"2173",464,906,0.07,70,1109,"Descender IPA","American IPA",12,"Good Life Brewing Company","Bend"," OR","Bend  OR"
